Trade_Dt,name,value
3-31-2015,Momentum,0.077554032
3-31-2015,Growth,0.002100772
3-31-2015,Capex,-0.060372451
4-30-2015,Alpha,1.052412246
4-30-2015,Market,0.517570848
4-30-2015,Size,0.02351983
4-30-2015,Quality,0.211379529
4-30-2015,Momentum,0.066677947
4-30-2015,Growth,0.001789031
4-30-2015,Capex,-0.043937141
5-31-2015,Alpha,1.099026655
5-31-2015,Market,0.509999838
5-31-2015,Size,0.033058499
5-31-2015,Quality,0.196062575
5-31-2015,Momentum,0.075678137
5-31-2015,Growth,0.002803497
5-31-2015,Capex,-0.04239789
6-30-2015,Alpha,1.107675753
6-30-2015,Market,0.471347792
6-30-2015,Size,0.04480537
6-30-2015,Quality,0.201946903
6-30-2015,Momentum,0.077595698
6-30-2015,Growth,0.002754484
6-30-2015,Capex,-0.044124559
7-31-2015,Alpha,1.032842888
7-31-2015,Market,0.476707527
7-31-2015,Size,0.029769281
7-31-2015,Quality,0.198023804
7-31-2015,Momentum,0.108313732
7-31-2015,Growth,0.001068386
7-31-2015,Capex,-0.052588719
8-31-2015,Alpha,0.922344681
8-31-2015,Market,0.389151135
8-31-2015,Size,0.041497563
8-31-2015,Quality,0.205358923
8-31-2015,Momentum,0.111528647
8-31-2015,Growth,0.000870381
8-31-2015,Capex,-0.057426038
9-30-2015,Alpha,0.894220832
9-30-2015,Market,0.326134096
9-30-2015,Size,0.052085228
9-30-2015,Quality,0.216022563
9-30-2015,Momentum,0.113902588
9-30-2015,Growth,0.000578083
9-30-2015,Capex,-0.057570834
10-31-2015,Alpha,0.930917349
10-31-2015,Market,0.412783072
10-31-2015,Size,0.036811848
10-31-2015,Quality,0.20615179
10-31-2015,Momentum,0.122674862
10-31-2015,Growth,0.00185022
10-31-2015,Capex,-0.04768561
11-30-2015,Alpha,0.869500011
11-30-2015,Market,0.387704833
11-30-2015,Size,0.040013471
11-30-2015,Quality,0.17521497
11-30-2015,Momentum,0.131855021
11-30-2015,Growth,0.002248983
11-30-2015,Capex,-0.029777034
12-31-2015,Alpha,0.861731491
12-31-2015,Market,0.371120275
12-31-2015,Size,0.05185342
12-31-2015,Quality,0.181582055
