Trade_Dt,P&L(%)
2-Aug-18,-0.0109
3-Aug-18,0.0081
6-Aug-18,-0.0037
7-Aug-18,0.0041
8-Aug-18,-0.0017
9-Aug-18,0.0044
10-Aug-18,-0.0165
13-Aug-18,-0.0102
14-Aug-18,0.0076
15-Aug-18,-0.0089
16-Aug-18,-0.0041
17-Aug-18,0.0073
20-Aug-18,0.008
21-Aug-18,-0.001
22-Aug-18,0.0018
23-Aug-18,0
24-Aug-18,0.0014
27-Aug-18,0.0139
28-Aug-18,-0.0006
29-Aug-18,-0.0013
30-Aug-18,-0.0102
31-Aug-18,0.0024
3-Sep-18,-0.01
4-Sep-18,-0.0092
5-Sep-18,-0.0138
6-Sep-18,-0.0032
7-Sep-18,0.0144
10-Sep-18,-0.0134
11-Sep-18,-0.0126
12-Sep-18,0.0027
13-Sep-18,0.0067
14-Sep-18,0.0109
17-Sep-18,-0.0092
18-Sep-18,0.0052
19-Sep-18,0.0022
20-Sep-18,0.0021
21-Sep-18,0.006
24-Sep-18,-0.0241
25-Sep-18,0.0058
26-Sep-18,-0.0032
27-Sep-18,0.0017
28-Sep-18,-0.0119
1-Oct-18,0.0044
2-Oct-18,-0.0043
3-Oct-18,-0.0051
4-Oct-18,-0.0195
5-Oct-18,-0.0174
8-Oct-18,0.0021
9-Oct-18,0.0012
10-Oct-18,0.0054
11-Oct-18,-0.0271
12-Oct-18,0.0233
15-Oct-18,-0.0073
16-Oct-18,0.0148
17-Oct-18,-0.0047
18-Oct-18,-0.0087
19-Oct-18,-0.0001
22-Oct-18,0.004
23-Oct-18,-0.0076
24-Oct-18,-0.0121
25-Oct-18,0.0023
26-Oct-18,0.0051
29-Oct-18,-0.0041
30-Oct-18,0.0038
31-Oct-18,0.0069
1-Nov-18,0.0114
2-Nov-18,0.0168
5-Nov-18,0.0049
6-Nov-18,-0.0065
7-Nov-18,0.0047
8-Nov-18,-0.0131
9-Nov-18,0.004
12-Nov-18,-0.0131
13-Nov-18,0.0018
14-Nov-18,-0.0014
15-Nov-18,0.0032
16-Nov-18,0.0088
19-Nov-18,0.0039
20-Nov-18,0
21-Nov-18,0.0048
22-Nov-18,0.0059
23-Nov-18,-0.0045
26-Nov-18,-0.0041
27-Nov-18,0.0066
28-Nov-18,0.0029
29-Nov-18,0.0067
30-Nov-18,0.0054
3-Dec-18,0.0013
4-Dec-18,-0.0072
5-Dec-18,-0.008
6-Dec-18,-0.0189
7-Dec-18,-0.002
10-Dec-18,-0.011
11-Dec-18,0.0046
12-Dec-18,0.019
13-Dec-18,0.0061
14-Dec-18,-0.0081
17-Dec-18,-0.0028
18-Dec-18,0.0005
19-Dec-18,0.0069
20-Dec-18,0.0033
21-Dec-18,-0.012
24-Dec-18,-0.0055
25-Dec-18,-0.0018
26-Dec-18,-0.003
27-Dec-18,0.0035
28-Dec-18,0.016
31-Dec-18,0.0048
1-Jan-19,-0.0004
2-Jan-19,-0.0146
3-Jan-19,-0.0061
4-Jan-19,0.0092
7-Jan-19,-0.0004
8-Jan-19,0.0009
9-Jan-19,0.018
10-Jan-19,0.0061
11-Jan-19,0.0038
14-Jan-19,0.0003
15-Jan-19,0.0006
16-Jan-19,0.0002
17-Jan-19,0
18-Jan-19,-0.0043
21-Jan-19,-0.0031
22-Jan-19,-0.0074
23-Jan-19,0.0041
24-Jan-19,0.0088
25-Jan-19,-0.001
28-Jan-19,-0.0019
29-Jan-19,0.0021
30-Jan-19,0.008
31-Jan-19,0.0107
1-Feb-19,0.0067
4-Feb-19,-0.0033
5-Feb-19,0.0042
6-Feb-19,-0.0071
7-Feb-19,-0.0008
