Date,Sector,Net
2017-02-20,Real Estate,0.0118
2017-02-20,Currency,0
2017-02-20,Health Care,0.0641
2017-02-21,Materials,0.1446
2017-02-21,Currency,0
2017-02-21,Real Estate,0.0117
2017-02-21,Consumer Discretionary,0.2689
2017-02-21,Industrials,0.2046
2017-02-21,Health Care,0.064
2017-02-21,Index,0.0506
2017-02-21,Financials,0.2057
2017-02-21,Consumer Staples,0.0425
2017-02-22,Industrials,0.2037
2017-02-22,Materials,0.146
2017-02-22,Currency,0
2017-02-22,Consumer Discretionary,0.2664
2017-02-22,Index,0.0509
2017-02-22,Health Care,0.0656
2017-02-22,Financials,0.206
2017-02-22,Consumer Staples,0.0425
2017-02-22,Real Estate,0.0119
2017-02-23,Consumer Discretionary,0.2671
2017-02-23,Financials,0.2069
2017-02-23,Currency,0
2017-02-23,Consumer Staples,0.0418
2017-02-23,Index,0.0508
2017-02-23,Industrials,0.2014
2017-02-23,Health Care,0.0654
2017-02-23,Real Estate,0.0121
2017-02-23,Materials,0.1472
2017-02-24,Financials,0.2068
2017-02-24,Consumer Staples,0.0419
2017-02-24,Real Estate,0.0122
2017-02-24,Health Care,0.0661
2017-02-24,Consumer Discretionary,0.266
2017-02-24,Industrials,0.2011
2017-02-24,Materials,0.1479
2017-02-24,Index,0.0503
2017-02-24,Currency,0
2017-02-27,Currency,0
2017-02-27,Materials,0.1463
2017-02-27,Consumer Staples,0.043
2017-02-27,Real Estate,0.0135
2017-02-27,Health Care,0.0679
2017-02-27,Financials,0.2058
2017-02-27,Consumer Discretionary,0.2647
2017-02-27,Industrials,0.2007
2017-02-27,Index,0.05
2017-02-28,Health Care,0.0687
2017-02-28,Currency,0
2017-02-28,Consumer Staples,0.0439
2017-02-28,Industrials,0.2014
2017-02-28,Financials,0.2052
2017-02-28,Materials,0.1463
2017-02-28,Consumer Discretionary,0.2614
2017-02-28,Index,0.0497
2017-02-28,Real Estate,0.0135
2017-03-01,Financials,0.2072
2017-03-01,Materials,0.145
2017-03-01,Consumer Staples,0.0435
2017-03-01,Real Estate,0.0134
2017-03-01,Currency,0
2017-03-01,Health Care,0.0672
2017-03-01,Industrials,0.2003
2017-03-01,Consumer Discretionary,0.2589
2017-03-01,Index,0.0505
2017-03-02,Index,0.0522
2017-03-02,Financials,0.2078
2017-03-02,Health Care,0.0669
2017-03-02,Currency,0
2017-03-02,Real Estate,0.0138
2017-03-02,Consumer Discretionary,0.2578
2017-03-02,Industrials,0.1995
2017-03-02,Materials,0.1443
2017-03-02,Consumer Staples,0.044
2017-03-03,Health Care,0.0671
2017-03-03,Index,0.0546
2017-03-03,Currency,0
2017-03-03,Materials,0.1447
2017-03-03,Consumer Staples,0.0437
2017-03-03,Real Estate,0.0151
2017-03-03,Financials,0.2063
2017-03-03,Consumer Discretionary,0.2591
2017-03-03,Industrials,0.1996
2017-03-06,Industrials,0.1994
2017-03-06,Consumer Staples,0.0432
2017-03-06,Consumer Discretionary,0.2567
2017-03-06,Materials,0.1449
2017-03-06,Financials,0.2058
2017-03-06,Health Care,0.0687
2017-03-06,Index,0.0566
2017-03-06,Real Estate,0.0163
2017-03-06,Currency,0
2017-03-07,Real Estate,0.0163
2017-03-07,Consumer Discretionary,0.2554
2017-03-07,Financials,0.207
2017-03-07,Currency,0
2017-03-07,Industrials,0.199
2017-03-07,Consumer Staples,0.0434
2017-03-07,Materials,0.1434
2017-03-07,Health Care,0.0685
2017-03-07,Index,0.0567
2017-03-08,Currency,0
2017-03-08,Health Care,0.0695
2017-03-08,Index,0.0566
2017-03-08,Financials,0.2051
2017-03-08,Real Estate,0.0161
2017-03-08,Consumer Staples,0.0437
2017-03-08,Industrials,0.1973
2017-03-08,Materials,0.1449
2017-03-08,Consumer Discretionary,0.2559
2017-03-09,Index,0.0563
2017-03-09,Materials,0.1462
2017-03-09,Industrials,0.1948
