Date,Sector,Net
2017-04-10,Real Estate,0.02
2017-04-10,Cons. Disc.,0.26
2017-04-10,Materials,0.15
2017-04-10,Index,0.06
2017-04-11,Currency,0
2017-04-11,Cons. Disc.,0.26
2017-04-11,Health Care,0.07
2017-04-11,Real Estate,0.02
2017-04-11,Financials,0.21
2017-04-11,Industrials,0.18
2017-04-11,Materials,0.15
2017-04-11,Index,0.06
2017-04-11,Cons. Staples,0.04
2017-04-12,Cons. Disc.,0.26
2017-04-12,Cons. Staples,0.05
2017-04-12,Financials,0.21
2017-04-12,Currency,0
2017-04-12,Materials,0.15
2017-04-12,Health Care,0.07
2017-04-12,Industrials,0.18
2017-04-12,Index,0.06
2017-04-12,Real Estate,0.02
2017-04-13,Real Estate,0.02
2017-04-13,Industrials,0.18
2017-04-13,Currency,0
2017-04-13,Materials,0.15
2017-04-13,Financials,0.21
2017-04-13,Health Care,0.07
2017-04-13,Cons. Disc.,0.26
2017-04-13,Cons. Staples,0.05
2017-04-13,Index,0.06
2017-04-14,Currency,0
2017-04-14,Health Care,0.07
2017-04-14,Index,0.06
2017-04-14,Cons. Disc.,0.26
2017-04-14,Real Estate,0.02
2017-04-14,Financials,0.21
2017-04-14,Industrials,0.18
2017-04-14,Cons. Staples,0.05
2017-04-14,Materials,0.15
2017-04-17,Industrials,0.19
2017-04-17,Currency,0
2017-04-17,Cons. Disc.,0.26
2017-04-17,Health Care,0.07
2017-04-17,Index,0.06
2017-04-17,Materials,0.15
2017-04-17,Cons. Staples,0.05
2017-04-17,Financials,0.21
2017-04-17,Real Estate,0.02
2017-04-18,Cons. Disc.,0.26
2017-04-18,Financials,0.21
2017-04-18,Real Estate,0.02
2017-04-18,Index,0.05
2017-04-18,Currency,0
2017-04-18,Cons. Staples,0.05
2017-04-18,Industrials,0.18
2017-04-18,Health Care,0.07
2017-04-18,Materials,0.15
2017-04-19,Currency,0
2017-04-19,Financials,0.21
2017-04-19,Materials,0.15
2017-04-19,Cons. Staples,0.05
2017-04-19,Cons. Disc.,0.26
2017-04-19,Industrials,0.18
2017-04-19,Real Estate,0.02
2017-04-19,Index,0.05
2017-04-19,Health Care,0.07
2017-04-20,Real Estate,0.02
2017-04-20,Cons. Disc.,0.26
2017-04-20,Health Care,0.07
2017-04-20,Financials,0.21
2017-04-20,Cons. Staples,0.05
2017-04-20,Materials,0.15
2017-04-20,Index,0.05
2017-04-20,Industrials,0.18
2017-04-20,Currency,0
2017-04-21,Currency,0
2017-04-21,Financials,0.21
2017-04-21,Index,0.05
2017-04-21,Industrials,0.18
2017-04-21,Real Estate,0.02
2017-04-21,Cons. Staples,0.05
2017-04-21,Cons. Disc.,0.26
2017-04-21,Health Care,0.07
2017-04-21,Materials,0.15
2017-04-24,Cons. Staples,0.05
2017-04-24,Industrials,0.18
2017-04-24,Currency,0
2017-04-24,Financials,0.21
2017-04-24,Materials,0.15
2017-04-24,Health Care,0.07
2017-04-24,Index,0.05
2017-04-24,Real Estate,0.02
2017-04-24,Cons. Disc.,0.26
2017-04-25,Financials,0.21
2017-04-25,Materials,0.15
2017-04-25,Real Estate,0.02
2017-04-25,Cons. Disc.,0.26
2017-04-25,Index,0.05
2017-04-25,Cons. Staples,0.05
2017-04-25,Currency,0
2017-04-25,Industrials,0.18
2017-04-25,Health Care,0.07
2017-04-26,Cons. Staples,0.05
2017-04-26,Industrials,0.18
2017-04-26,Real Estate,0.02
2017-04-26,Materials,0.15
2017-04-26,Index,0.05
