trade_dt,Country,VaR90D%
3/6/2017,Philippines,-0.004471078
3/6/2017,Taiwan,-3.3851E-05
3/6/2017,Chile,-0.000239928
3/6/2017,Mexico,-0.002248776
3/6/2017,Japan,-0.000314004
3/6/2017,Thailand,-1.43504E-07
3/6/2017,China,-0.000246857
3/6/2017,United States,-0.000292592
3/6/2017,Indonesia,-0.000938415
3/7/2017,Thailand,-1.39965E-07
3/7/2017,United States,-0.0002894
3/7/2017,India,-0.005503648
3/7/2017,Japan,-0.000316306
3/7/2017,China,-0.000247084
3/7/2017,Philippines,-0.004459724
3/7/2017,Chile,-0.000246698
3/7/2017,Mexico,-0.002236327
3/7/2017,Indonesia,-0.000936223
3/7/2017,Taiwan,-3.24965E-05
3/7/2017,Brazil,-0.001100397
3/8/2017,Chile,-0.000264091
3/8/2017,Mexico,-0.002348599
3/8/2017,Thailand,-1.37541E-07
3/8/2017,United States,-0.000290884
3/8/2017,China,-0.000243449
3/8/2017,Brazil,-0.001198369
3/8/2017,India,-0.005250734
3/8/2017,Indonesia,-0.000923701
3/8/2017,Philippines,-0.004406446
3/8/2017,Japan,-0.000311108
3/8/2017,Taiwan,-8.40712E-05
3/9/2017,Chile,-0.00028796
3/9/2017,Philippines,-0.004390039
3/9/2017,China,-0.000243353
3/9/2017,India,-0.005263947
3/9/2017,Taiwan,-9.16226E-05
3/9/2017,Brazil,-0.001185545
3/9/2017,Indonesia,-0.000915384
3/9/2017,Thailand,-1.3867E-07
3/9/2017,United States,-0.000290856
3/9/2017,Japan,-0.000309255
3/9/2017,Mexico,-0.002367218
3/10/2017,Japan,-0.000332737
3/10/2017,Mexico,-0.002414034
3/10/2017,Chile,-0.000293079
3/10/2017,Taiwan,-6.75271E-05
3/10/2017,Philippines,-0.004200979
3/10/2017,United States,-0.000307474
3/10/2017,Brazil,-0.001314142
3/10/2017,India,-0.005168518
3/10/2017,China,-0.000229273
3/10/2017,Thailand,-1.43911E-07
3/10/2017,Indonesia,-0.000927171
3/13/2017,Mexico,-0.002343526
3/13/2017,Philippines,-0.003870397
3/13/2017,Chile,-0.000340259
3/13/2017,China,-0.000278424
3/13/2017,Japan,-0.000335587
3/13/2017,Thailand,-1.56386E-07
3/13/2017,United States,-0.000296316
3/13/2017,Indonesia,-0.001034057
3/13/2017,Brazil,-0.001202075
3/13/2017,Taiwan,-7.85816E-05
3/13/2017,India,-0.00511979
3/14/2017,Indonesia,-0.000991796
3/14/2017,Brazil,-0.001039879
3/14/2017,India,-0.005398978
3/14/2017,United States,-0.000198653
3/14/2017,Thailand,-1.46673E-07
3/14/2017,Taiwan,-6.14674E-05
3/14/2017,Mexico,-0.00234407
3/14/2017,Philippines,-0.004085271
3/14/2017,Japan,-0.00031255
3/14/2017,Chile,-0.000302295
3/14/2017,China,-0.000275935
3/15/2017,India,-0.005556772
3/15/2017,Thailand,-1.21555E-07
3/15/2017,Brazil,-0.000955533
3/15/2017,Taiwan,-5.0869E-05
3/15/2017,Japan,-0.000261079
3/15/2017,Philippines,-0.004108426
3/15/2017,Chile,-0.000295782
3/15/2017,Mexico,-0.002266347
3/15/2017,Indonesia,-0.00091155
3/15/2017,China,-0.000231949
3/15/2017,United States,-0.000300267
3/16/2017,Chile,-0.000295477
3/16/2017,Mexico,-0.002558265
3/16/2017,Japan,-0.000290563
3/16/2017,Thailand,-1.61604E-07
3/16/2017,United States,-0.000262165
3/16/2017,China,-0.000225316
3/16/2017,Indonesia,-0.000979005
3/16/2017,Brazil,-0.001054443
3/16/2017,India,-0.005407687
3/16/2017,Philippines,-0.003975513
3/16/2017,Taiwan,-0.000159945
3/17/2017,Indonesia,-0.000964537
3/17/2017,Brazil,-0.001031478
3/17/2017,China,-0.000200555
3/17/2017,Philippines,-0.003837909
3/17/2017,Chile,-0.000304612
3/17/2017,Mexico,-0.002718933
3/17/2017,Taiwan,-0.000160631
3/17/2017,Thailand,-1.57157E-07
3/17/2017,United States,-0.000250267
3/17/2017,India,-0.005412161
3/17/2017,Japan,-0.000283299
3/20/2017,India,-0.005166556
3/20/2017,Taiwan,-0.000165235
3/20/2017,Philippines,-0.003825616
3/20/2017,Brazil,-0.001086296
3/20/2017,China,-0.000231216
3/20/2017,Indonesia,-0.000885545
3/20/2017,Thailand,-1.62977E-07
3/20/2017,United States,-0.000251801
3/20/2017,Japan,-0.000289589
3/20/2017,Chile,-0.000299627
3/20/2017,Mexico,-0.002818852
3/21/2017,Chile,-0.00030137
3/21/2017,Mexico,-0.002986175
3/21/2017,Philippines,-0.003795764
3/21/2017,Taiwan,-0.000157921
3/21/2017,Japan,-0.000300409
3/21/2017,Thailand,-1.71407E-07
3/21/2017,United States,-0.000242003
3/21/2017,Brazil,-0.001091505
3/21/2017,India,-0.005120223
3/21/2017,China,-0.000234069
3/21/2017,Indonesia,-0.000866665
3/22/2017,China,-0.000191456
3/22/2017,United States,-0.000178463
3/22/2017,Thailand,-1.48744E-07
3/22/2017,Indonesia,-0.000890073
3/22/2017,Brazil,-0.001151606
3/22/2017,India,-0.005029119
3/22/2017,Chile,-0.000282467
3/22/2017,Japan,-0.000403408
