Trade_Dt,PNL,Positive_Var90D,Negative_Var90D,,,,,,,,,
17-Oct-17,-0.4,1.31,-1.31,,,,,,,,,
18-Oct-17,-0.3,1.32,-1.32,,,,,,,,,
19-Oct-17,-0.4,1.31,-1.31,,,,,,,,,
20-Oct-17,0.06,1.31,-1.31,,,,,,,,,
23-Oct-17,0.02,1.31,-1.32,,,,,,,,,
24-Oct-17,-0.14,1.32,-1.32,,,,,,,,,
25-Oct-17,0.13,1.31,-1.31,,,,,,,,,
26-Oct-17,-0.84,1.32,-1.32,,,,,,,,,
27-Oct-17,0.41,1.3,-1.30,,,,,,,,,
30-Oct-17,0.04,1.27,-1.27,,,,,,,,,
31-Oct-17,0.2,1.24,-1.24,,,,,,,,,
01-Nov-17,-0.16,1.24,-1.24,,,,,,,,,
02-Nov-17,0.44,1.25,-1.25,,,,,,,,,
03-Nov-17,-0.91,1.27,-1.27,,,,,,,,,
06-Nov-17,0.78,1.28,-1.28,,,,,,,,,
07-Nov-17,-0.9,1.27,-1.27,,,,,,,,,
08-Nov-17,0.72,1.21,-1.21,,,,,,,,,
09-Nov-17,0.24,1.17,-1.17,,,,,,,,,
10-Nov-17,-1.41,1.21,-1.21,,,,,,,,,
13-Nov-17,-0.23,1.14,-1.14,,,,,,,,,
14-Nov-17,-0.6,1.14,-1.14,,,,,,,,,
15-Nov-17,0.58,1.14,-1.14,,,,,,,,,
16-Nov-17,1.17,1.2,-1.20,,,,,,,,,
17-Nov-17,0.85,1.21,-1.21,,,,,,,,,
20-Nov-17,-0.46,1.22,-1.23,,,,,,,,,
21-Nov-17,0.94,1.26,-1.26,,,,,,,,,
22-Nov-17,0.51,1.26,-1.26,,,,,,,,,
23-Nov-17,0.16,1.24,-1.24,,,,,,,,,
24-Nov-17,0.18,1.24,-1.24,,,,,,,,,
27-Nov-17,0.62,1.24,-1.24,,,,,,,,,
28-Nov-17,0.02,1.24,-1.24,,,,,,,,,
29-Nov-17,-0.18,1.23,-1.23,,,,,,,,,
30-Nov-17,-0.79,1.24,-1.24,,,,,,,,,
01-Dec-17,-0.34,1.23,-1.23,,,,,,,,,
04-Dec-17,-0.68,1.26,-1.26,,,,,,,,,
05-Dec-17,-0.32,1.25,-1.26,,,,,,,,,
06-Dec-17,0.13,1.23,-1.23,,,,,,,,,
07-Dec-17,0.17,1.22,-1.22,,,,,,,,,
08-Dec-17,0.86,1.23,-1.23,,,,,,,,,
11-Dec-17,0.2,1.24,-1.24,,,,,,,,,
12-Dec-17,-0.84,1.26,-1.26,,,,,,,,,
13-Dec-17,0.3,1.28,-1.28,,,,,,,,,
14-Dec-17,-0.07,1.27,-1.27,,,,,,,,,
15-Dec-17,0.61,1.26,-1.26,,,,,,,,,
18-Dec-17,1.34,1.32,-1.32,,,,,,,,,
19-Dec-17,0.86,1.33,-1.33,,,,,,,,,
20-Dec-17,-0.2,1.34,-1.34,,,,,,,,,
21-Dec-17,-0.02,1.34,-1.34,,,,,,,,,
