Trade_Dt,Sector,PNL
8/2/2019,Materials,-59647.07307
8/5/2019,Materials,-5146.571431
8/6/2019,Materials,-516.0348404
8/7/2019,Materials,-4986.91666
8/8/2019,Materials,-3171.169843
8/9/2019,Materials,-1981.078552
8/12/2019,Materials,-2795.858628
8/1/2019,Other,326304.8921
8/2/2019,Other,841700.5267
8/5/2019,Other,1934591.122
8/6/2019,Other,-819267.0616
8/7/2019,Other,-178679.2581
8/8/2019,Other,-1544177.538
8/9/2019,Other,621527.7847
8/12/2019,Other,1312687.461
8/13/2019,Other,-1242606.326
8/14/2019,Other,2291999.214
8/15/2019,Other,-11514.93057
8/16/2019,Other,-935236.1087
8/19/2019,Other,-490799.9593
8/20/2019,other,314543.2948
8/21/2019,Other,-392791.2906
8/22/2019,Other,250013.1567
8/23/2019,Other,957791.551
8/26/2019,Other,-337608.4375
8/27/2019,Other,222414.0258
8/28/2019,Other,-328054.5364
8/29/2019,Other,-480938.95
8/30/2019,Other,56241.3588
8/1/2019,Real Estate,48564.88584
8/2/2019,Real Estate,79615.27326
8/5/2019,Real Estate,-208595.8237
8/6/2019,Real Estate,84061.31789
8/7/2019,Real Estate,-14117.65614
8/8/2019,Real Estate,-22467.1069
8/9/2019,Real Estate,-46065.20782
8/12/2019,Real Estate,116102.5916
8/13/2019,Real Estate,26422.41158
8/14/2019,Real Estate,-104223.3946
8/15/2019,Real Estate,51273.126
8/16/2019,Real Estate,24032.37
8/19/2019,Real Estate,63747.59
8/20/2019,Real Estate,-25017.17
8/21/2019,Real Estate,22159.3731
8/22/2019,Real Estate,53794.47055
8/23/2019,Real Estate,-60584.92
8/26/2019,Real Estate,25040.9509
8/27/2019,Real Estate,-21682.1899
8/28/2019,Real Estate,23151.0504
8/29/2019,Real Estate,27506.6466
8/30/2019,Real Estate,-15338.25263
8/1/2019,Utilities,-12685.85042
8/2/2019,Utilities,-3219.358782
8/5/2019,Utilities,-143176.0184
8/6/2019,Utilities,42852.2062
8/7/2019,Utilities,39800.5586
8/8/2019,Utilities,49925.92
8/9/2019,Utilities,5575.28
8/12/2019,Utilities,-39687.84
8/13/2019,Utilities,14687.1664
8/14/2019,Utilities,-42658.2665
8/15/2019,Utilities,-50532.1227
8/16/2019,Utilities,-8105.93
