Date,name1,value,parent,name
11/1/2017,PARAUCO CI Equity,0.006176111,Origin,PARAUCO CI 
11/1/2017,MRCO IN Equity,0.033807562,Origin,MRCO IN 
11/1/2017,ICT PM Equity,0.092244049,Origin,ICT PM 
11/1/2017,RAIL3 BZ Equity,0.052250824,Origin,RAIL3 BZ 
11/1/2017,MIKA IJ Equity,0.028146899,Origin,MIKA IJ 
11/1/2017,SECB PM Equity,0.082953837,Origin,SECB PM 
11/1/2017,DMC PM Equity,0.018450743,Origin,DMC PM 
11/1/2017,MPI PM Equity,0.090827038,Origin,MPI PM 
11/1/2017,4613 JT Equity,0.038204091,Origin,4613 JT 
11/1/2017,GFREGIO MM Equity,0.026224819,Origin,GFREGIO MM 
11/1/2017,KLBF IJ Equity,0.034694698,Origin,KLBF IJ 
11/1/2017,PAG IN Equity,0.072987363,Origin,PAG IN 
11/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
11/1/2017,ACES IJ Equity,0.002762,Origin,ACES IJ 
11/1/2017,URC PM Equity,5.59E-05,Origin,URC PM 
12/1/2017,KLBF IJ Equity,0.034328245,Origin,KLBF IJ 
12/1/2017,DMC PM Equity,0.018502283,Origin,DMC PM 
12/1/2017,MPI PM Equity,0.090144756,Origin,MPI PM 
12/1/2017,TVSL IN Equity,0.044553409,Origin,TVSL IN 
12/1/2017,PI IN Equity,0.041555034,Origin,PI IN 
12/1/2017,RBK IN Equity,0.02469419,Origin,RBK IN 
12/1/2017,PARAUCO CI Equity,0.006545688,Origin,PARAUCO CI 
12/1/2017,SRCM IN Equity,0.065404189,Origin,SRCM IN 
12/1/2017,RAIL3 BZ Equity,0.054600864,Origin,RAIL3 BZ 
12/1/2017,URC PM Equity,5.69E-05,Origin,URC PM 
12/1/2017,PAG IN Equity,0.07184725,Origin,PAG IN 
12/1/2017,6409 TT Equity,0.039543127,Origin,6409 TT 
12/1/2017,4613 JT Equity,0.038204844,Origin,4613 JT 
12/1/2017,EIM IN Equity,0.045529789,Origin,EIM IN 
12/1/2017,SECB PM Equity,0.082804552,Origin,SECB PM 
12/1/2017,ACES IJ Equity,0.002723546,Origin,ACES IJ 
12/1/2017,2199 HK Equity,0.025162293,Origin,2199 HK 
12/1/2017,KINO IJ Equity,0.003844124,Origin,KINO IJ 
12/1/2017,GFREGIO MM Equity,0.02661354,Origin,GFREGIO MM 
12/1/2017,ALSEA* MM Equity,0.080857051,Origin,ALSEA* MM 
12/1/2017,MRCO IN Equity,0.03427871,Origin,MRCO IN 
12/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
12/1/2017,MIKA IJ Equity,0.027924794,Origin,MIKA IJ 
12/1/2017,EEM US Equity,0.038582715,Origin,EEM
12/1/2017,ICT PM Equity,0.091653717,Origin,ICT PM 
13-01-17,DMC PM Equity,0.017961402,Origin,DMC PM 
13-01-17,4613 JT Equity,0.038539358,Origin,4613 JT 
13-01-17,2199 HK Equity,0.024621591,Origin,2199 HK 
13-01-17,TVSL IN Equity,0.044232248,Origin,TVSL IN 
13-01-17,PARAUCO CI Equity,0.00661754,Origin,PARAUCO CI 
13-01-17,RBK IN Equity,0.02470638,Origin,RBK IN 
13-01-17,GFREGIO MM Equity,0.027645847,Origin,GFREGIO MM 
13-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
13-01-17,SECB PM Equity,0.08183437,Origin,SECB PM 
13-01-17,RAIL3 BZ Equity,0.05326388,Origin,RAIL3 BZ 
13-01-17,6409 TT Equity,0.039588217,Origin,6409 TT 
13-01-17,KINO IJ Equity,0.00393657,Origin,KINO IJ 
13-01-17,EEM US Equity,0.038758171,Origin,EEM
13-01-17,PAG IN Equity,0.072342533,Origin,PAG IN 
13-01-17,MRCO IN Equity,0.034682882,Origin,MRCO IN 
13-01-17,PI IN Equity,0.041956206,Origin,PI IN 
13-01-17,ACES IJ Equity,0.002726471,Origin,ACES IJ 
13-01-17,EIM IN Equity,0.045659474,Origin,EIM IN 
13-01-17,URC PM Equity,5.72E-05,Origin,URC PM 
13-01-17,MPI PM Equity,0.089473979,Origin,MPI PM 
13-01-17,SRCM IN Equity,0.065796598,Origin,SRCM IN 
13-01-17,ICT PM Equity,0.091217698,Origin,ICT PM 
13-01-17,ALSEA* MM Equity,0.082302975,Origin,ALSEA* MM 
13-01-17,KLBF IJ Equity,0.034028194,Origin,KLBF IJ 
13-01-17,MIKA IJ Equity,0.027842061,Origin,MIKA IJ 
16-01-17,PAG IN Equity,0.073693439,Origin,PAG IN 
16-01-17,KINO IJ Equity,0.004143652,Origin,KINO IJ 
16-01-17,ACES IJ Equity,0.002745301,Origin,ACES IJ 
16-01-17,2199 HK Equity,0.02431663,Origin,2199 HK 
16-01-17,URC PM Equity,5.72E-05,Origin,URC PM 
16-01-17,EIM IN Equity,0.045489661,Origin,EIM IN 
16-01-17,DMC PM Equity,0.01791003,Origin,DMC PM 
16-01-17,ICT PM Equity,0.08939357,Origin,ICT PM 
16-01-17,JPYUSD Curncy,0,Origin,JPYUSD 
16-01-17,MPI PM Equity,0.089088108,Origin,MPI PM 
